Model,MAE,MSE,RMSE,R2 Score
Random Forest,8.639861073338617,89.33336632571934,9.451632997832668,0.2142591969303792
Deep Learning,21.63938049913658,878.1270240460949,29.63320812949713,-6.723656472939467
