Model,MAE,MSE,RMSE,R2 Score,Accuracy
CSA Random Forest Regressor,8.639861073338617,89.33336632571934,9.451632997832668,0.2142591969303792,21.42591969303792
CSA Random Forest Classifier,,,,,33.33333333333333
